title,url,description,stars,language,last_updated
arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,https://github.com/arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,None,26,Python,2026-04-30T18:38:39.708Z
neilgebhard/ai-therapist,https://github.com/neilgebhard/ai-therapist,A personal AI therapist to help you with your mental health,25,TypeScript,2025-11-29T05:19:55.863Z
Mercytopsy/AI-Health-Supervisor-Agent,https://github.com/Mercytopsy/AI-Health-Supervisor-Agent,"A multi-agent AI system designed to provide personalized health guidance across fitness, diet, and mental wellness",18,Jupyter Notebook,2025-04-28T05:06:46.053Z
HemantKumar01/SoulScript,https://github.com/HemantKumar01/SoulScript,Personal AI Mental Health Therapist,6,TypeScript,2025-09-30T07:55:25.964Z
AryanNayak/Muse,https://github.com/AryanNayak/Muse,An AI Mental Health Chatbot,11,Jupyter Notebook,2020-11-18T15:28:44.757Z
yogyagit/IvyHacks2024_MentalHealth,https://github.com/yogyagit/IvyHacks2024_MentalHealth,ThinkWell AI: A real-time mental health support app leveraging AI-driven CBT techniques for personalized therapy sessions.,10,Python,2024-04-27T22:36:24.893Z
23W-GBAC/RHYAN2,https://github.com/23W-GBAC/RHYAN2,"Mental health ,cancer and AI",5,Python,2024-03-12T11:07:10.888Z
Rahul-Sahani04/Mental-Health-AI-Assistant,https://github.com/Rahul-Sahani04/Mental-Health-AI-Assistant,Mental Support Chatbot App: A Streamlit application implementing a Mental Support Chatbot powered by Google Generative AI. Engage in conv…,6,Python,2024-02-07T14:47:31.656Z
revolutionarybukhari/ai-calling-agent,https://github.com/revolutionarybukhari/ai-calling-agent,"I have used technologies like Twilio , openai , pinecone , Mongodb, to make an automated calling agent for both inbound and outbound call…",45,Python,2026-02-06T00:42:38.157Z
alvii147/HachikosJournal,https://github.com/alvii147/HachikosJournal,AI-based application for mental health journal writing with virtual assistant,9,Python,2024-08-06T13:42:13.895Z
BinaryStudioAcademy/bsa-2023-calmpal,https://github.com/BinaryStudioAcademy/bsa-2023-calmpal,AI-powered mental health application,3,TypeScript,2023-10-16T11:36:42.493Z
Sakaar-Sen/MentalHealthBot,https://github.com/Sakaar-Sen/MentalHealthBot,An AI-powered mental health chatbot created using the LangChain framework.,12,Python,2023-10-19T18:33:02.364Z
galihru/facemind,https://github.com/galihru/facemind,application uses computer vision and machine learning to analyze mental health based on facial expressions. The app includes login system…,35,TeX,2026-05-12T23:10:09.481Z
siddythings/system-prompts-and-models-of-ai-tools,https://github.com/siddythings/system-prompts-and-models-of-ai-tools,"A comprehensive collection of AI system prompts, tools, and implementations across various domains including healthcare, voice AI, mental h…",49,,2025-05-15T16:56:50.920Z
starlightknown/AIry_pages,https://github.com/starlightknown/AIry_pages,hackOn 2.0 Hack for mental health and awareness and voice hack category,8,CSS,2022-03-14T17:34:43.752Z
mithatco/mental_health_multiagent,https://github.com/mithatco/mental_health_multiagent,💡 Resources for the CIKM 2025 paper: Trustworthy AI Psychotherapy: Multi-Agent LLM Workflow for Counseling and Explainable Mental Disorde…,11,Python,2025-08-22T13:15:53.569Z
Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,https://github.com/Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,"The platform combines cutting-edge technology including AI, IoT, and data analytics to provide personalized mental health support, resour…",4,JavaScript,2026-04-17T18:11:30.575Z
SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,https://github.com/SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,"The app is an AI-powered chatbot that offers personalized mental healthcare support to users, providing evidence-based advice and helping…",8,Python,2025-12-21T02:48:30.557Z
shreyasharma04/HealthChatbot,https://github.com/shreyasharma04/HealthChatbot,"... used are diagnostics, patient engagement outside medical facilities, and mental health. In our major we are working on diagnostic. 📃 …",127,Python,2022-02-21T08:29:12.563Z
behtar-foundation/Sukoon,https://github.com/behtar-foundation/Sukoon,We want to build open-source solutions and standards for using AI to solve mental health challenges. The goal is to apply DPI knowledge a…,27,Jupyter Notebook,2025-06-13T09:35:46.416Z
rrishi0309/Mental-Health-AI-Companion,https://github.com/rrishi0309/Mental-Health-AI-Companion,"An AI-powered Mental Health Companion leveraging Retool and GPT-4o to deliver empathetic, anonymous, and supportive conversations for str…",5,,2025-03-13T10:24:43.860Z
aiproduct-creators/mental-health-ai,https://github.com/aiproduct-creators/mental-health-ai,None,2,Python,2024-01-25T12:16:44.262Z
Sukoon-A-Mental-Wellness-Platform/website,https://github.com/Sukoon-A-Mental-Wellness-Platform/website,"AI-powered mental health platform with dream analysis, virtual therapy, and student wellness tools.",14,JavaScript,2025-05-05T06:40:47.007Z
TAHIR0110/ThereForYou,https://github.com/TAHIR0110/ThereForYou,"ThereForYou: Your mental health ally. Kai, our AI assistant, offers compassionate support. Track your mood trends, find solace in a secur…",89,Python,2025-02-03T15:25:50.538Z
Anil951/Early-detection-of-mental-health,https://github.com/Anil951/Early-detection-of-mental-health,"This project develops a predictive model to identify early signs of mental health issues in adolescents using social media activity, scho…",7,Jupyter Notebook,2024-11-13T12:21:13.485Z
zenn-ai/zen,https://github.com/zenn-ai/zen,Zen - AI Mental Health Counselor,7,Python,2023-12-22T01:07:10.522Z
demoslayer/Mental-health-Chatbot-MERN-STACK,https://github.com/demoslayer/Mental-health-Chatbot-MERN-STACK,The Mental Health Chatbot is a MERN stack web app that provides users with mental health support through an AI-powered chatbot. Users can…,13,JavaScript,2024-10-06T10:11:32.992Z
Bhargav1144/Mental_Health_Chatbot,https://github.com/Bhargav1144/Mental_Health_Chatbot,"A Streamlit-based AI chatbot offering compassionate mental health support using models like Mistral, LLaMA, DeepSeek, and Cohere. It prov…",5,Python,2025-03-04T18:23:47.758Z
djpapzin/MentalWellnessChatbot,https://github.com/djpapzin/MentalWellnessChatbot,"AI chatbot for mental health advice using Streamlit, LangChain, and Llama 2 by Meta. Retrieves info from PDFs and offers real-time responses",4,Python,2023-10-13T11:26:38.450Z
h8-hackathon/livy,https://github.com/h8-hackathon/livy,Online Counseling App for Mental Health,8,JavaScript,2023-03-10T00:23:36.010Z
annu12340/Haven,https://github.com/annu12340/Haven," Winner of the international MongoDB AI Hackathon, Haven is an AI-powered solution empowering women in abusive situations with discreet h…",30,TypeScript,2024-12-29T06:21:43.874Z
Elliot-D-Hill/abcd,https://github.com/Elliot-D-Hill/abcd,Leveraging the largest US study of adolescent neurodevelopment to train AI models for longitudinal mental health prediction,12,Python,2025-11-26T18:12:49.787Z
Aditya-Ohri/Self.ai,https://github.com/Aditya-Ohri/Self.ai,An AI-powered mental health platform built at Hack the Hammer 2,5,HTML,2019-12-15T17:07:39.445Z
darshitk19/AI-Powered_Mental_Health_Prediction_System,https://github.com/darshitk19/AI-Powered_Mental_Health_Prediction_System,"A deep learning project that predicts emotions from multiple data types — text, audio, and images. It uses CNNs for visual cues, RNNs for…",7,Jupyter Notebook,2025-07-27T14:39:20.896Z
amrita-thakur/mental-healthcare-chatbot,https://github.com/amrita-thakur/mental-healthcare-chatbot,This repository contains a mental healthcare chatbot application,5,Python,2025-01-22T08:27:33.655Z
miriandres/Happy2Help-chatbot,https://github.com/miriandres/Happy2Help-chatbot,🧠 Happy2Help is your mental health chatbot,6,Python,2022-10-07T18:04:46.617Z
deepakuy/mindbridge-ai-hackathon,https://github.com/deepakuy/mindbridge-ai-hackathon,AI-powered mental health early intervention system,0,Python,2025-09-11T12:26:03.049Z
Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,https://github.com/Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,Around 1 in 4 people will experience a mental health problem this year. Low-income countries have an estimated treatment gap of 85% (as c…,10,Jupyter Notebook,2020-06-13T00:31:35.192Z
HongyiZhan/MentalHealth-GenAI-Chatbot,https://github.com/HongyiZhan/MentalHealth-GenAI-Chatbot,This project is not just about offering support for mental health concerns; it's a gateway to leveraging cutting-edge Natural Language Pr…,3,Python,2023-10-14T00:12:04.951Z
TiffanyAllvin08/mental_health_assistant,https://github.com/TiffanyAllvin08/mental_health_assistant,"An **AI-powered wellness and productivity web app** built with **Gradio**, **Hugging Face Transformers**, and **PyTorch**. It helps users…",37,Python,2025-09-30T03:30:00.310Z
njacobsonlab/Pretrained-Actigraphy-Transformer,https://github.com/njacobsonlab/Pretrained-Actigraphy-Transformer,"This is the GitHub associated with the paper ""AI Foundation Models for Wearable Movement Data in Mental Health Research""",10,Jupyter Notebook,2026-04-06T00:12:45.895Z
Hymeis/H4H2025-HeartEcho,https://github.com/Hymeis/H4H2025-HeartEcho,AI-Powered Anonymous Mental Health Companion,4,TypeScript,2025-02-16T13:22:34.581Z
Algeo3603/SuzieBrainBot_Synergy_4-kill-a-byte,https://github.com/Algeo3603/SuzieBrainBot_Synergy_4-kill-a-byte,AI-driven suicide detection and mental health monitoring based on EEG data.,3,Jupyter Notebook,2024-03-16T08:08:23.850Z
emirgocen03/mental-health-text-classification,https://github.com/emirgocen03/mental-health-text-classification,"🧠 Multi-model machine learning approach for mental health classification from social media text. Compares BERT, LSTM, and SVM models achi…",3,Python,2025-06-15T17:52:04.816Z
devansharora18/caress,https://github.com/devansharora18/caress,Caress is a revolutionary mental health app designed to streamline therapy processes and promote holistic well-being.,11,TypeScript,2023-10-01T07:14:22.701Z
Vijayaa21/dost.ai,https://github.com/Vijayaa21/dost.ai,Dost AI - Mental Health Companion Chatbot,15,TypeScript,2026-03-28T18:50:26.713Z
judd69/tabula_rasa,https://github.com/judd69/tabula_rasa,AI-Powered Mental Health Companion,0,Python,2025-01-08T18:33:58.291Z
Prity18/Mental-Health-AI,https://github.com/Prity18/Mental-Health-AI,None,0,Jupyter Notebook,2021-10-02T19:59:42.919Z
anasaqeeel/Mental_Health_Ai,https://github.com/anasaqeeel/Mental_Health_Ai,None,0,JavaScript,2024-11-12T21:23:02.250Z
smyt0058/ai-for-mental-health,https://github.com/smyt0058/ai-for-mental-health,A.I For Mental Health Open Source Project. OSO,13,Java,2018-04-26T13:55:52.711Z
ArpitGupta4957/suno_samjho,https://github.com/ArpitGupta4957/suno_samjho,"Suno – Samjho is your personal mental health companion app that blends AI, speech &amp; text analysis, and clinical models to help detect ear…",10,Dart,2026-03-28T08:06:39.730Z
vamsikunal/Text-Based-AI-Bot-for-Monitoring-Mental-Health,https://github.com/vamsikunal/Text-Based-AI-Bot-for-Monitoring-Mental-Health,None,5,C,2023-09-12T11:30:50.057Z
CAS-SIAT-XinHai/awesome-ai-mental-health,https://github.com/CAS-SIAT-XinHai/awesome-ai-mental-health,None,1,,2025-12-13T10:11:04.508Z
Rawan19/Conversational-AI-Chatbot-for-the-Elderly-and-Disabled,https://github.com/Rawan19/Conversational-AI-Chatbot-for-the-Elderly-and-Disabled,A virtual caregiver system that extracts the expression of mental and physical health states through dialogue-based human-computer intera…,15,Jupyter Notebook,2023-01-29T21:20:34.914Z
devTejaSrinivas/mental-health-AI,https://github.com/devTejaSrinivas/mental-health-AI,An AI powered web application that helps track and analyze mental health of patients ,2,TypeScript,2026-03-30T05:14:31.842Z
Rayyan9477/Solace-AI,https://github.com/Rayyan9477/Solace-AI,"""Solace AI: Your Empathetic Digital Confidant"": Solace AI is an empathetic mental health companion that understands your emotions and per…",17,Python,2026-04-25T23:00:57.537Z
AIwithhassan/safespace-ai-therapist,https://github.com/AIwithhassan/safespace-ai-therapist,"Introducing SafeSpace — an AI Mental Health Therapist powered by agents, specialist models &amp; real-world tools. In this tutorial, I walk t…",7,Python,2025-08-01T11:27:21.011Z
AllenYolk/depression-detection,https://github.com/AllenYolk/depression-detection,The final coursework for AI in Mental Health @ PKU.,20,Jupyter Notebook,2024-01-05T14:32:56.900Z
SparkFan626/gsoc2025-ai4mh,https://github.com/SparkFan626/gsoc2025-ai4mh,AI-powered behavioral analysis for mental health crisis detection (GSoC 2025 @ HumanAI),4,Jupyter Notebook,2025-09-28T18:47:41.392Z
kiritocode1/Memories,https://github.com/kiritocode1/Memories,An Ai based experimental mental health expert to talk to ,1,JavaScript,2023-10-07T00:26:29.627Z
raushankumar620/AI-Mental-Health-Analyzer-,https://github.com/raushankumar620/AI-Mental-Health-Analyzer-,None,10,Python,2025-08-05T18:07:05.259Z
ishpreet404/Zenify,https://github.com/ishpreet404/Zenify,"Zenify is an AI mental health chatbot using RAG and MCP for personalized support with journaling, mood tracking, and crisis alerts. Runs …",11,TypeScript,2026-03-27T21:52:55.842Z
Mahatir-Ahmed-Tusher/Kothakunjo-BengaliChatbot,https://github.com/Mahatir-Ahmed-Tusher/Kothakunjo-BengaliChatbot,"Kothakunjo: A Bengali AI chatbot for conversations on literature, mental health, tech, and more. Built with modern web tech, blending AI …",6,TypeScript,2025-06-17T18:51:02.514Z
Amlan-Deep/Mental-Health-Chatbot,https://github.com/Amlan-Deep/Mental-Health-Chatbot,LLama2HealthCareChatBot is a conversational AI chatbot designed to assist mental healthcare queries and help in providing mental health i…,3,Python,2023-08-22T18:22:10.103Z
shanika200721/mental-health-predictor,https://github.com/shanika200721/mental-health-predictor,"A showcase of modern web development technologies featuring frontend, backend, AI/ML, and version control tools. Includes interactive ico…",3,Jupyter Notebook,2025-07-19T18:54:21.232Z
AmalAntoney123/Emo-Mental_Health_Assistant,https://github.com/AmalAntoney123/Emo-Mental_Health_Assistant,"Comprehensive mental health app that leverages gamification techniques such as streaks and rewards, machine learning (ML), and artificial…",16,Dart,2024-07-14T13:26:45.873Z
GDGC-MET/HealthandWellness-VibeCoding,https://github.com/GDGC-MET/HealthandWellness-VibeCoding,"In our busy lives, prioritizing mental and physical health can be a daily challenge. This hackathon problem focuses on using AI to create…",1,,2025-10-09T07:10:08.411Z
themuditjain/Mental-Health-Chatbot-using-AI,https://github.com/themuditjain/Mental-Health-Chatbot-using-AI,None,2,PHP,2023-04-12T07:40:57.159Z
Sandeepkasturi/SoulCare-AI,https://github.com/Sandeepkasturi/SoulCare-AI,"An AI for Mental Health Care, Designed for Love and Support.",3,Python,2024-08-08T05:21:54.675Z
rajatsinghten/Calmify,https://github.com/rajatsinghten/Calmify,An AI integrated web app to keep a tab on Mental Health ,2,TypeScript,2026-04-30T11:22:12.114Z
Cybrite/Project-N,https://github.com/Cybrite/Project-N,"AI-powered healthcare platform built with Next.js and React. Provides virtual doctor consultations, veterinary care, elder support, mental …",2,TypeScript,2025-08-01T21:17:59.375Z
flackzmge/MentalHealthChatBot-With-Tensorflow-OpenAI,https://github.com/flackzmge/MentalHealthChatBot-With-Tensorflow-OpenAI,This is a PyQt6 chatbot that provides answers to frequently asked questions about mental health. The chatbot uses a Tensorflow trained mo…,8,Python,2022-12-20T04:07:46.525Z
Alledoux/HealthySportMind,https://github.com/Alledoux/HealthySportMind,An AI-powered platform providing real-time mental health support for athletes via push notification protocols,3,JavaScript,2026-04-22T00:14:40.881Z
NISHAKAR06/Mental_Wellness_AI,https://github.com/NISHAKAR06/Mental_Wellness_AI,"A comprehensive mental health support platform featuring AI-powered psychotherapy sessions, emotion monitoring, and therapeutic gaming ex…",2,TypeScript,2025-12-22T07:39:02.033Z
Turwash/AsanaAi,https://github.com/Turwash/AsanaAi,"AsanaAi is not just another fitness app; it's a comprehensive tool designed to cater to various aspects of holistic health, ranging from …",1,JavaScript,2024-05-19T11:48:50.669Z
03nnn/SoulLink_AI_Mental_health_tracker,https://github.com/03nnn/SoulLink_AI_Mental_health_tracker,"SOULLINK is a Raspberry Pi-based desktop robot with sensors, a camera, mic, servo motors, and an LCD screen. It empathetically interacts …",2,Python,2025-05-18T15:32:27.618Z
Alirizvi11/Mental_Health_Chatbot,https://github.com/Alirizvi11/Mental_Health_Chatbot,Our project is an AI-powered chatbot designed to provide mental health and emotional support to students. Utilizing Gemini’s advanced nat…,11,CSS,2024-10-02T09:31:04.212Z
praptikharade/Mental_Health_Chatbot,https://github.com/praptikharade/Mental_Health_Chatbot,"A Streamlit-based AI chatbot designed to provide compassionate and uplifting mental health support. It leverages multiple AI models, incl…",2,Python,2025-03-04T18:24:33.028Z
